Artist,Song,Date Released,Avg,# Ratings,Wants
Current 93,Why Can’t We All Just Walk Away?,December 2021,-,inf,20
EVERGLOW,Return of the Girl,1 December 2021,3.21,173,9
Aerosmith,1971: The Road Starts Hear,26 November 2021,3.65,7,8
The Chisel,Retaliation,26 November 2021,3.53,46,10
Otto A Totland,Companion,26 November 2021,3.53,21,12
Sutcliffe No More,Domestic,22 November 2021,4.50,1,19
ADX,Étranges visions,19 November 2021,3.60,15,6
Orelsan,Civilisation,19 November 2021,2.83,108,8
Grim,Totem Song,19 November 2021,3.22,24,17
Claire Rousay,Everything Perfect Is Already Here,2022,-,inf,19
Ride for Revenge,Feed the Infamy,21 December 2021,3.74,31,13
Luigi Tozzi,Deep Blue: Volume 3,19 December 2021,3.41,25,14
Spidergawd,VI,10 December 2021,3.48,30,4
Tzusing,Next Life,7 December 2021,3.39,23,14
Wicca Phase Springs Eternal / Pillars of Ivory,Wicca Phase Springs Eternal / Pillars of Ivory,6 December 2021,3.15,37,10
Polo G,Hall of Fame 2.0,3 December 2021,2.78,177,9
Little Feat,"Electrif Lycanthrope: Live at Ultra-Sonic Studios, 1974",26 November 2021,4.38,14,7
Trees Speak,Vertigo of Flaws: Emancipation of the Dissonance and Temperaments in Irrational Waveforms,26 November 2021,3.72,18,5
Internazionale,Vestiges of Nature,25 November 2021,3.24,30,14
Defcee & Messiah Musik,Trapdoor,23 November 2021,3.58,47,13
Resina,Speechless,19 November 2021,3.52,46,14
Willie Nelson,The Willie Nelson Family,19 November 2021,2.96,37,7
Parris,Soaked in Indigo Moonlight,19 November 2021,3.02,63,10
Accordo dei Contrari,Ur,19 November 2021,3.90,6,13
LF58,Live at Brancaleone,19 November 2021,3.56,24,16
Jonny Greenwood,The Power of the Dog,17 November 2021,3.52,83,13
Katie Dey,Forever Music,2022,-,inf,17
Kły,Cienie,21 December 2021,3.41,17,9
Diamondsonmydick & Cartier'GOD,Digital Drip 2,18 December 2021,2.99,28,12
Kanye West / Drake,Free Larry Hoover Benefit Concert,10 December 2021,4.08,94,13
Eli Keszler,The Scary of Sixty-First,3 December 2021,2.83,20,15
Shedfromthebody,To Hold the Ripened Sun,1 December 2021,3.66,41,9
Cecil Taylor,Music From Two Continents,30 November 2021,4.00,9,13
Imperialist,Zenith,26 November 2021,3.21,34,7
The Ocean Collective,Phanerozoic Live,26 November 2021,3.97,25,13
Badsista,Gueto Elegance,26 November 2021,3.39,72,13
Scowl,How Flowers Grow,19 November 2021,3.18,50,10
Volumes,Happier?,19 November 2021,3.15,91,5
Cassandra Jenkins,(An Overview On) An Overview on Phenomenal Nature,19 November 2021,3.37,54,10
Juliette Armanet,Brûler le feu,19 November 2021,3.28,40,6
Fred Again..,Actual Life 2 (February 22 - October 15 2021),19 November 2021,3.45,105,11
Alewya,Panther in Mode,19 November 2021,3.56,51,10
Soleá Morente,Aurora y Enrique,19 November 2021,3.62,50,12
Pagan Altar,The Story of Pagan Altar,20 December 2021,3.75,5,11
Moses Sumney,Live From Blacklachia,10 December 2021,3.70,45,14
Russ,Chomp 2,8 December 2021,2.58,109,9
Demilich,Vanishing Sessions,7 December 2021,3.68,16,14
Doodswens,Lichtvrees,3 December 2021,3.27,37,6
Mario Batković,Introspectio,3 December 2021,3.61,33,8
Gåte,Nord,3 December 2021,3.57,14,10
Garfo,Oração ao cadáver desconhecido,2 December 2021,3.68,44,10
Fleeting Joys,All Lost Eyes and Glitter,27 November 2021,3.37,60,11
Imminence,Heaven in Hiding,26 November 2021,3.41,74,8
Sion,Sion,26 November 2021,3.23,82,7
Lordi,Lordiversity,26 November 2021,3.72,8,5
Zmarłym,Druga Fala,21 November 2021,2.97,62,4
DJ Muggs,Winter 2,19 November 2021,2.98,62,7
Ur New Favorite War Criminals,Full Life Consequences,19 November 2021,3.35,46,13
Wadada Leo Smith's Great Lakes Quartet,The Chicago Symphonies,19 November 2021,3.32,15,15
Vylet Pony,Can Opener's Notebook: Fish Whisperer,January 2022,-,1,16
